Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D
2017-06-14,163.107,EDSF,-,USD,2.64%,-,-,130-140,A-,-,-,99.99914,-,125,107.81,Fixed,0.92,2.65%,Swaps,-,USD,3.80%,-,-,230-240,BBB-,-,-,99.99749,-,225,27.169,Fixed,2.18,3.83%,Swaps,-,USD,6.35%,-,-,475-500,BB-,-,-,99.99896,-,475,28.128,Fixed,2.99,6.43%,,,,,,,,,,,,,,,,,
2017-11-15,175.059,EDSF,-,USD,2.51%,-,-,95-100,A-,-,-,99.99968,-,90,91.531,Fixed,0.67,2.52%,Swaps,-,USD,3.75%,-,-,190-200,BBB-,-,-,99.99983,-,190,40.668,Fixed,2.05,3.78%,Swaps,-,USD,5.59%,-,-,365-375,BB-,-,-,99.99946,-,365,42.86,Fixed,3.35,5.66%,,,,,,,,,,,,,,,,,
2018-04-05,227.211,EDSF,-,USD,3.02%,-,-,75a,A-,-,-,99.99964,-,72,73.513,Fixed,0.52,3.03%,EDSF,-,USD,3.89%,-,-,150a,BBB-,-,-,99.99941,-,140,58.408,Fixed,1.44,3.92%,Swaps,-,USD,5.00%,-,-,250a,BB-,-,-,99.9983,-,240,45.694,Fixed,2.32,5.05%,Swaps,-,USD,6.15%,-,-,350a,B-,-,-,99.99721,-,350,49.596,Fixed,3.46,6.23%
2018-08-01,187.623,EDSF,-,USD,3.33%,-,-,80a,A-,-,-,99.99956,-,77,81.929,Fixed,0.73,3.35%,EDSF,-,USD,4.45%,-,-,165a,BBB-,-,-,99.99835,-,160,43.883,Fixed,1.86,4.49%,Swaps,-,USD,5.49%,-,-,270a,BB-,-,-,99.99975,-,260,37.733,Fixed,2.83,5.56%,Swaps,-,USD,6.55%,-,-,375a,B-,-,-,99.99821,-,365,24.078,Fixed,3.73,6.64%
2019-02-21,231.91,EDSF,-,USD,3.45%,A,-,-,A-,-,-,99.99626,-,85,86.837,Fixed,0.66,3.48%,EDSF,-,USD,4.19%,BBB,-,-,BBB-,-,-,99.99889,-,160,64.472,Fixed,1.82,4.23%,Swaps,-,USD,5.13%,NR,-,-,BB-,-,-,99.9941,-,260,45.093,Fixed,2.9,5.19%,Swaps,-,USD,6.48%,NR,-,-,B-,-,-,99.9955,-,400,35.508,Fixed,3.79,6.57%
2019-07-31,358.38300000000004,EDSF,-,USD,2.90%,A (L),-,90-95,A-,-,-,99.99933,-,87,230.208,Fixed,1.1,2.92%,Swaps,-,USD,3.73%,BBB (L),-,185-195,BBB-,-,-,99.99761,-,195,61.558,Fixed,2.68,3.76%,Swaps,-,USD,4.78%,NR,-,300-310,BB-,-,-,99.99923,-,305,66.617,Fixed,3.65,4.83%,,,,,,,,,,,,,,,,,
2019-11-22,346.444,EDSF,-,USD,2.68%,A,-,95-100,A-,-,-,99.99253,-,100,223.877,Fixed,1.08,2.71%,Swaps,-,USD,3.83%,BBB (L),-,230a,BBB-,-,-,99.96145,-,230,58.602,Fixed,2.66,3.88%,Swaps,-,USD,5.38%,NR,-,390a,BB-,-,-,99.96325,-,390,63.965,Fixed,3.57,5.45%,,,,,,,,,,,,,,,,,
2020-02-06,110.107,YLD,31.50%,USD,3.50%,-,-,-,BBB,-,-,-,-,-,110.107,Fixed,1.78,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,374.51300000000003,EDSF,-,USD,2.32%,A,-,85a,A-,-,-,99.99991,-,80,259.639,Fixed,1.17,2.33%,Swaps,-,USD,3.09%,BBB (L),-,180-190,BBB-,-,-,99.9993,-,170,53.38,Fixed,2.79,3.11%,Swaps,-,USD,4.90%,NR,-,365a,BB-,-,-,99.99916,-,355,61.494,Fixed,3.65,4.95%,,,,,,,,,,,,,,,,,
2020-09-16,65.54,EDSF,-,USD,2.31%,-,-,-,BBB-,-,-,99.99981,-,210,65.54,Fixed,1.65,2.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,269.54200000000003,EDSF,-,USD,1.70%,A,-,150a,A-,-,-,100,-,150,190.958,Fixed,1.15,1.71%,Swaps,-,USD,3.01%,BBB (L),-,300a,BBB-,-,-,99.9998,-,280,30.648,Fixed,2.71,3.03%,Swaps,-,USD,6.25%,NR,-,600-625,BB-,-,-,99.44462,-,625,47.936,Fixed,3.55,6.51%,,,,,,,,,,,,,,,,,
2020-10-30,94.5,YLD,32.50%,USD,3.00%,-,-,-,-,-,-,100,-,-,94.5,Fixed,1.88,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20,84.062,YLD,33.25%,USD,2.75%,BBB (L),-,-,-,-,-,100,-,-,84.062,Fixed,1.89,2.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,108.0,YLD,33.00%,USD,2.50%,BBB (L),-,-,-,-,-,100,-,-,108.0,Fixed,1.73,2.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,207.85899999999998,EDSF,-,USD,0.87%,A,-,80-90,A-,-,-,99.99486,-,70,142.827,Fixed,1.17,0.88%,Swaps,-,USD,1.89%,BBB (L),-,180-195,BBB-,-,-,99.985,-,165,28.93,Fixed,2.78,1.90%,Swaps,-,USD,4.06%,NR,-,400a,BB-,-,-,99.98448,-,375,36.102,Fixed,3.66,4.10%,,,,,,,,,,,,,,,,,
2021-03-01,64.0,YLD,36.50%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,64.0,Fixed,1.73,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,475.875,EDSF,-,USD,0.91%,A,-,70-75,A-,-,-,99.9972,-,70,344.136,Fixed,1.24,0.91%,Swaps,-,USD,1.75%,BBB (L),-,145-160,BBB-,-,-,99.98953,-,130,59.148,Fixed,2.99,1.76%,Swaps,-,USD,3.61%,NR,-,325-350,BB-,-,-,99.98343,-,300,72.591,Fixed,3.76,3.64%,,,,,,,,,,,,,,,,,
2021-05-13,102.492,YLD,31.50%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,102.492,Fixed,1.82,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,68.392,YLD,32.00%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,68.392,Fixed,1.76,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,82.152,YLD,34.00%,USD,1.85%,BBB (L),-,-,BBB-,-,-,100,-,-,82.152,Fixed,1.76,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,485.65,EDSF,-,USD,0.83%,A,-,70-75,A-,-,A3,99.99313,-,65,352.762,Fixed,1.24,0.84%,Swaps,-,USD,1.66%,BBB (L),-,120-130,BBB-,-,Baa3,99.97603,-,120,59.219,Fixed,2.99,1.67%,Swaps,-,USD,3.28%,NR,-,280-300,BB-,-,NR,99.99782,-,270,73.669,Fixed,3.72,3.30%,,,,,,,,,,,,,,,,,
2021-08-05,74.226,YLD,38.00%,USD,1.85%,BBB (L),-,-,BBB-,-,-,100,-,-,74.226,Fixed,1.76,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,80.398,YLD,33.00%,USD,1.75%,BBB (L),-,-,BBB,-,-,100,-,-,80.398,Fixed,1.75,1.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,671.36,EDSF,-,USD,0.84%,A,-,70-75,A,-,A3,99.98767,-,65,498.355,Fixed,1.3,0.85%,Swaps,-,USD,1.84%,BBB (L),-,125-135,BBB-,-,NR,99.9843,-,120,108.151,Fixed,3.27,1.85%,Swaps,-,USD,3.19%,NR,-,250-270,BB,-,NR,99.97913,-,245,64.854,Fixed,3.82,3.22%,,,,,,,,,,,,,,,,,
2021-10-07,83.384,YLD,30.00%,USD,1.70%,-,-,-,BBB-,-,-,100,-,-,83.384,Fixed,1.81,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-17,521.503,EDSF,-,USD,1.31%,A,-,100a,A-,-,A3,99.78771,-,100,398.562,Fixed,1.32,1.48%,Swaps,-,USD,2.49%,BBB (L),-,175a,BBB-,-,NR,98.93941,-,175,66.779,Fixed,3.26,2.85%,Swaps,-,USD,4.15%,NR,-,300a,BB-,-,NR,99.96803,-,300,56.162,Fixed,3.81,4.20%,,,,,,,,,,,,,,,,,
2021-12-01,186.085,YLD,30.00%,USD,2.25%,-,-,-,BBB-,-,-,100,-,-,186.085,Fixed,1.84,2.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,86.166,YLD,30.00%,USD,2.60%,-,-,-,BBB-,-,-,100,-,-,86.166,Fixed,1.72,2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,102.342,YLD,32.00%,USD,3.80%,-,-,-,BBB-,-,-,100,-,-,102.342,Fixed,1.71,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-29,435.47999999999996,EDSF,-,USD,3.12%,A,-,-,A-,-,A2,99.17325,-,150,320.628,Fixed,1.33,3.80%,Swaps,-,USD,4.48%,BBB,-,-,BBB-,-,Baa3,97.79301,-,260,55.159,Fixed,3.21,5.29%,Swaps,-,USD,5.71%,NR,-,-,BB-,-,NR,95.51438,-,450,59.693,Fixed,3.83,7.15%,,,,,,,,,,,,,,,,,
2022-04-08,83.384,YLD,30.00%,USD,4.30%,-,-,-,BBB-,-,-,100,-,-,83.384,Fixed,1.66,4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,112.026,YLD,-,USD,4.25%,-,-,-,BBB-,-,-,99.14517,-,-,112.026,Fixed,1.57,4.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26,545.21,I-Curve,-,USD,4.37%,-,-,265a,A-,-,A1,99.57982,-,280,365.638,Fixed,1.08,4.82%,I-Curve,-,USD,6.10%,-,-,400a,NR,-,A3,98.91529,-,400,72.738,Fixed,2.8,6.61%,YLD,-,USD,8.43%,-,-,550-570,NR,-,Ba3,99.47659,-,-,106.834,Fixed,3.71,8.75%,,,,,,,,,,,,,,,,,
2022-08-16,179.041,I-Curve,-,USD,5.98%,-,-,-,-,-,A3,99.99496,-,280,152.185,Fixed,1.61,6.06%,I-Curve,-,USD,8.68%,-,-,-,-,-,Ba2,99.97504,-,575,26.856,Fixed,3.86,8.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05,258.756,I-Curve,40.50%,USD,-,-,-,-,-,-,A2,99.81273,-,325,189.333,Fixed,0.84,7.36%,I-Curve,28.50%,USD,-,-,-,-,-,-,Baa2,-,-,-,37.867,Fixed,2.56,-,I-Curve,18.50%,USD,-,-,-,-,-,-,Ba3,-,-,-,31.556,Fixed,3.31,-,,,,,,,,,,,,,,,,,
