Date,Unnamed: 0_x,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-C-1,C/E-C-1,CCY-C-1,CPN-C-1,DR-C-1,FI-C-1,GDNC-C-1,KR-C-1,LTV-C-1,MO-C-1,PRICE-C-1,SP-C-1,SPRD-C-1,SZE(M)-C-1,TYPE-C-1,WAL-C-1,YLD-C-1,BNCH-CERT,C/E-CERT,CCY-CERT,CPN-CERT,DR-CERT,FI-CERT,GDNC-CERT,KR-CERT,LTV-CERT,MO-CERT,PRICE-CERT,SP-CERT,SPRD-CERT,SZE(M)-CERT,TYPE-CERT,WAL-CERT,YLD-CERT,CPN-A-change,CPN-B-change,CPN-C-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,WAL-A-change,WAL-B-change,WAL-C-change,YLD-A-change,YLD-B-change,YLD-C-change,Unnamed: 0_y,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change
2016-07-29,0,134.997,Swaps,-,USD,0.0375,-,-,4%,E,-,E,100.0,-,0.0,88.06,Fixed,0.75,0.0375,Swaps,-,USD,0.065,-,-,7%,E,-,E,100.0,-,0.0,16.935,Fixed,2.31,0.065,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,-,-,USD,-,-,-,-,-,-,-,Retained,-,-,30.002,-,-,-,,,,,,,,,,,,,,,,,,,410,22.9,23.1,22.65,23.1,23.1,904800,22.950001,23.75,27.5,24.299999,-0.0064934632034632,0.0326086956521738,-0.0107913313234291,-0.0141988235294117
2016-12-01,1,101.751,EDSF,-,USD,0.03,-,-,-,BBB,-,E,100.0,-,200.0,85.34,Fixed,0.78,0.0,Swaps,-,USD,0.06,-,-,-,BB-,-,E,100.0,-,499.0,16.411,Fixed,2.41,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0075,-0.005,,0.0,0.0,0.0,200.0,499.0,0.0,-2.719999999999999,-0.5239999999999974,0.0,0.03,0.1,0.0,-0.0375,-0.065,,497,28.25,28.700001,26.4,26.65,26.65,3940480,25.75,28.15,28.700001,26.85,-0.0337711069418386,-0.0392491139675466,0.0590406273062729,0.0112994731186242
2017-03-07,2,213.137,YLD,-,USD,0.0325,-,-,-,BBB,-,E,0.0,-,188.0,176.39,Fixed,0.83,0.0325,YLD,-,USD,0.055,-,-,-,BB-,-,E,0.0,-,371.0,36.747,Fixed,2.67,0.055,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,-0.0049999999999999,,-100.0,-100.0,0.0,-12.0,-128.0,0.0,91.04999999999998,20.336,0.0,0.0499999999999999,0.2599999999999998,0.0,0.0325,0.055,,561,25.4,26.25,25.15,25.299999,25.299999,1418840,26.549999,26.299999,26.700001,28.9,0.0494071165773564,0.0,0.019083968737253,0.0017331022530329
2017-06-14,3,265.418,EDSF,-,USD,0.0239,-,-,125-135,A-,-,E,99.9997,-,110.0,154.294,Fixed,0.42,0.024,EDSF,-,USD,0.0317,-,-,200-215,BBB,-,E,99.99954,-,180.0,39.173,Fixed,1.18,0.0319,EDSF,-,USD,0.0513,-,-,400-425,BB,-,E,99.98658,-,370.0,71.951,Fixed,1.91,0.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0086,-0.0233,,99.9997,99.99954,99.98658,-78.0,-191.0,370.0,-22.09599999999997,2.426000000000002,71.951,-0.41,-1.49,1.91,-0.0085,-0.0231,,630,28.950001,29.049999,28.35,28.5,28.5,744040,28.25,27.65,26.5,30.700001,-0.0087719298245614,-0.0212389380530974,-0.016697624612333,-0.0064724595469255
2017-09-15,4,323.107,EDSF,-,USD,0.0242,-,-,100-110,A-,-,E,99.99698,-,97.0,217.334,Fixed,0.77,0.0243999999999999,Swaps,-,USD,0.0356,-,-,180-190,BBB-,-,E,99.99066,-,195.0,51.045,Fixed,2.1,0.0359,Swaps,-,USD,0.0501999999999999,-,-,340-350,BB-,-,E,99.99334,-,335.0,54.728,Fixed,2.94,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002999999999999,0.0039,-0.0011,-0.0027200000000107,-0.0088799999999906,0.0067599999999998,-13.0,15.0,-35.0,63.03999999999999,11.872,-17.222999999999992,0.35,0.9200000000000002,1.03,0.0003999999999999,0.004,-0.0011,695,30.549999,31.0,30.15,30.9,30.9,1262040,30.700001,30.299999,31.200001,20.25,-0.0064724595469255,-0.0065574098360655,-0.0126581962025317,-0.0217391776937595
2017-11-29,5,313.5,EDSF,-,USD,0.0260999999999999,-,-,85a,A-,-,E,99.99732,-,85.0,227.43,Fixed,0.97,0.0263,Swaps,-,USD,0.0356,-,-,165-175,BBB,-,E,99.98446,-,160.0,32.87,Fixed,2.52,0.0359,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,Swaps,-,USD,4.91%,-,-,300-325,BB,-,-,99.9952,-,290.0,53.2,Fixed,3.31,4.96%,,,,,,,,,,,,,,,,,,0.0018999999999999,0.0,,0.0003400000000084,-0.0062000000000068,-99.99334,-12.0,-35.0,-335.0,10.096000000000004,-18.175000000000004,-54.728,0.1999999999999999,0.4199999999999999,-2.94,0.0019,0.0,,747,21.700001,23.299999,21.665001,22.549999,22.549999,3182460,21.85,21.25,21.450001,19.35,-0.0310420856337952,0.0,0.0387409685230024,-0.0102301284005179
2017-12-13,6,227.095,EDSF,-,USD,0.0255,-,-,90-95,A-,-,E,99.99762,-,85.0,157.614,Fixed,0.46,0.0256999999999999,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,Swaps,-,USD,0.0487,-,-,300a,BB,-,E,99.98609,-,290.0,69.481,Fixed,2.06,0.0493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005999999999999,,,0.0002999999999957,-99.98446,99.98609,0.0,-160.0,290.0,-69.816,-32.87,69.481,-0.51,-2.52,2.06,-0.0006,,,757,21.1,21.25,18.85,20.1,20.1,2983500,19.950001,20.450001,20.700001,18.4,-0.0074626368159204,0.0098765925925925,0.0048544174757281,-0.0238726790450929
2018-03-15,7,301.727,EDSF,-,USD,0.0299,-,-,-,A-,-,E,99.9965,-,72.0,180.717,Fixed,0.44,0.0311,EDSF,-,USD,0.0366999999999999,-,-,-,BBB,-,E,99.99673,-,125.0,42.876,Fixed,1.23,0.037,EDSF,-,USD,0.0474,-,-,-,BB,-,E,99.99292,-,220.0,78.134,Fixed,1.95,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044,,-0.0012999999999999,-0.0011200000000002,99.99673,0.0068299999999936,-13.0,125.0,-70.0,23.10300000000001,42.876,8.653000000000006,-0.02,1.23,-0.1100000000000001,0.0054,,-0.0013999999999999,819,19.049999,19.4,18.6,18.9,18.9,1186080,19.5,18.1,16.950001,20.0,0.0317460317460318,-0.0163043478260868,0.0119403582089552,0.0050251256281408
2018-06-14,8,294.4,EDSF,-,USD,0.0339,-,-,75-80,A-,-,E,99.99086,-,80.0,218.8,Fixed,0.99,0.0342,Swaps,-,USD,0.0407,-,-,125a,BBB,-,E,99.97933,-,125.0,28.8,Fixed,2.56,0.0411,Swaps,-,USD,0.0521,-,-,225-235,BB,-,E,99.57249,-,250.0,46.8,Fixed,3.31,0.0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039999999999999,0.004,0.0046999999999999,-0.0056399999999996,-0.0173999999999949,-0.4204299999999961,8.0,0.0,30.0,38.083,-14.075999999999995,-31.334000000000003,0.55,1.33,1.36,0.0031,0.0040999999999999,0.0062,882,18.799999,19.1,18.65,19.1,19.1,630900,19.549999,19.85,21.799999,17.049999,0.0235601570680628,-0.0050125812023767,-0.0202247640449438,0.0088756804733729
2018-09-18,9,270.3,EDSF,-,USD,0.0347,-,-,80a,A-,-,E,99.99978,-,73.0,202.9,Fixed,1.01,0.035,Swaps,-,USD,0.0409999999999999,-,-,120a,BBB,-,E,99.98548,-,115.0,25.3,Fixed,2.58,0.0414,Swaps,-,USD,0.0521,-,-,240-250,BB,-,E,99.98111,-,225.0,42.1,Fixed,3.27,0.0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008,0.0002999999999999,0.0,0.0089200000000033,0.0061499999999909,0.4086199999999991,-7.0,-10.0,-25.0,-15.900000000000006,-3.5,-4.699999999999996,0.02,0.02,-0.04,0.0008,0.0002999999999999,-0.0014,948,16.9,17.334999,16.9,17.049999,17.049999,226040,18.049999,18.35,17.9,12.7,0.058651029832905,0.0110192837465565,-0.0055555555555556,-0.0661764705882352
2018-12-06,10,272.4,EDSF,-,USD,0.0,-,-,-,A-,-,E,99.99843,-,100.0,208.9,Fixed,1.03,0.0385,Swaps,-,USD,0.0,-,-,-,BBB,-,E,99.97687,-,150.0,24.2,Fixed,2.62,0.0437,Swaps,-,USD,0.0,-,-,-,BB,-,E,99.98699,-,275.0,39.3,Fixed,3.27,0.0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0347,-0.0409999999999999,-0.0521,-0.0013500000000021,-0.0086099999999902,0.0058800000000047,27.0,35.0,50.0,6.0,-1.1000000000000014,-2.8000000000000043,0.02,0.04,0.0,0.0034999999999999,0.0023,0.0034,1003,15.65,15.9,15.15,15.8,15.8,530780,14.9,14.25,15.0,15.2,-0.0569620253164556,-0.0273037542662116,0.0309278350515462,0.0033003300330032
2019-03-21,11,268.6,EDSF,-,USD,0.0352,-,-,-,A-,-,E,100.101,-,90.0,199.3,Fixed,0.89,0.0354,Swaps,-,USD,0.0401,-,-,-,BBB,-,E,100.2655,-,150.0,25.6,Fixed,2.36,0.0397,Swaps,-,USD,0.0526,-,-,-,BB,-,E,100.8383,-,265.0,43.7,Fixed,3.09,0.0507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352,0.0401,0.0526,0.10257,0.2886299999999977,0.851309999999998,-10.0,0.0,-10.0,-9.599999999999994,1.400000000000002,4.400000000000006,-0.14,-0.2600000000000002,-0.1800000000000001,-0.0030999999999999,-0.004,-0.0054,1074,14.6,15.1,14.6,15.0,15.0,568420,14.35,15.1,16.950001,13.8,-0.0433333333333333,0.0134228187919462,0.049535665634675,-0.0247349823321554
2019-06-18,12,269.6,EDSF,-,USD,0.0294,-,-,90a,A+,-,A3,99.99628,-,83.0,187.7,Fixed,0.9,0.0296,Swaps,-,USD,0.0327999999999999,-,-,150-160,BBB+,-,Baa3,99.97816,-,145.0,36.9,Fixed,2.39,0.0331,Swaps,-,USD,0.0466,-,-,275-300,BB,-,NR,99.9746,-,290.0,45.0,Fixed,3.18,0.0471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0058,-0.0073,-0.0059999999999999,-0.1047200000000003,-0.2873400000000004,-0.8637000000000086,-7.0,-5.0,25.0,-11.600000000000025,11.299999999999995,1.2999999999999972,0.01,0.0300000000000002,0.0900000000000003,-0.0058,-0.0066,-0.0035999999999999,1135,14.8,15.3,14.725,15.05,15.05,468340,14.95,13.8,15.23,14.41,-0.0066445182724252,-0.0247349823321554,-0.0286989795918366,-0.0055210489993098
2019-09-04,13,287.8,EDSF,-,USD,0.0247,-,-,80-85,A+,-,A3,99.99976,-,73.0,200.7,Fixed,0.86,0.0248,Swaps,-,USD,0.0283,-,-,150a,A-,-,Baa3,99.98425,-,145.0,37.9,Fixed,2.26,0.0285,Swaps,-,USD,0.0441,-,-,300a,BB,-,NR,99.97292,-,315.0,49.2,Fixed,3.19,0.0446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0046999999999999,-0.0044999999999999,-0.0025,0.0034799999999961,0.0060900000000003,-0.0016799999999932,-10.0,0.0,25.0,13.0,1.0,4.200000000000003,-0.04,-0.1300000000000003,0.0099999999999997,-0.0048,-0.0045999999999999,-0.0025,1189,13.05,13.32,13.0,13.26,13.26,411500,13.61,14.9,11.62,13.03,0.0263951734539968,0.0101694915254237,0.0017241379310344,0.0227629513343798
2019-11-15,14,358.15000000000003,EDSF,-,USD,0.0259,-,-,90a,A+,-,E,99.99006,-,90.0,309.1,Fixed,1.1,0.0260999999999999,Swaps,-,USD,0.0348,-,-,190,BBB,-,E,99.99004,-,190.0,31.35,Fixed,2.71,0.0351,Swaps,-,USD,0.047,-,-,315-325,BB,-,E,99.9782,-,315.0,17.7,Fixed,3.4,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011999999999999,0.0064999999999999,0.0029,-0.0096999999999951,0.0057899999999904,0.005279999999999,17.0,45.0,0.0,108.40000000000003,-6.549999999999997,-31.500000000000004,0.2400000000000001,0.4500000000000002,0.2099999999999999,0.0012999999999999,0.0065999999999999,0.0029,1241,14.12,14.12,13.51,13.53,13.53,541200,13.32,13.08,12.82,11.87,-0.015521064301552,0.0171073094867808,-0.0108024691358025,-0.089025326170376
2020-02-05,15,240.2,EDSF,-,USD,0.0226,-,-,70-75,A+,-,A3,99.99242,-,65.0,166.6,Fixed,0.83,0.0227999999999999,Swaps,-,USD,0.0292,-,-,150-160,A,-,Baa3,99.98944,-,145.0,29.0,Fixed,2.12,0.0294,Swaps,-,USD,0.0461,-,-,300a,BB,-,NR,99.99045,-,320.0,44.6,Fixed,2.95,0.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033,-0.0055999999999999,-0.0008999999999999,0.0023599999999959,-0.0005999999999914,0.0122499999999945,-25.0,-45.0,5.0,-142.50000000000003,-2.3500000000000014,26.9,-0.2700000000000001,-0.5899999999999999,-0.4499999999999997,-0.0033,-0.0057,-0.0008999999999999,1295,11.64,12.24,11.575,12.22,12.22,823100,12.3,13.37,9.72,5.81,0.0065466448445172,0.0060195635816402,-0.0404738400789733,-0.023529411764706
