,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,BNCH-E,C/E-E,CCY-E,CPN-E,DR-E,FI-E,GDNC-E,KR-E,LTV-E,MO-E,PRICE-E,SP-E,SPRD-E,SZE(M)-E,TYPE-E,WAL-E,YLD-E,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,CPN-E-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,PRICE-D-change,PRICE-E-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SPRD-E-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,SZE(M)-E-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,WAL-E-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change,YLD-E-change
0,2020-07-01,150.0,-,-,USD,0.0346,-,-,-,E,-,E,0.0,-,0.0,150.0,Fixed,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-07-28,368.29,EDSF,-,USD,0.021,A,-,200a,E,-,E,99.98775,-,190.0,329.96,Fixed,1.85,0.0212,Swaps,-,USD,0.0354,BBB,-,350-365,E,-,E,99.99609,-,335.0,16.2,Fixed,2.19,0.035699999999999996,Swaps,-,USD,0.0623,BB,-,625-640,E,-,E,99.98629,-,610.0,22.13,Fixed,2.19,0.0632,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.013599999999999998,,,,,99.98775,99.99609,99.98629,0.0,0.0,190.0,335.0,610.0,0.0,0.0,179.95999999999998,16.2,22.13,0.0,0.0,1.85,2.19,2.19,0.0,0.0,0.0212,,,,
2,2020-10-13,375.0,-,-,USD,0.019,A,-,-,E,-,E,99.99,-,172.0,375.0,-,1.24,0.019299999999999998,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0020000000000000018,,,,,0.002249999999989427,-99.99609,-99.98629,0.0,0.0,-18.0,-335.0,-610.0,0.0,0.0,45.04000000000002,-16.2,-22.13,0.0,0.0,-0.6100000000000001,-2.19,-2.19,0.0,0.0,-0.0019000000000000024,,,,
3,2021-02-09,500.0,EDSF,-,USD,0.0088,AA,-,75-80,E,-,E,99.98523,-,70.0,407.2,Fixed,1.78,0.0089,Swaps,-,USD,0.0106,A,-,100a,E,-,E,99.99219,-,85.0,30.27,Fixed,2.15,0.010700000000000001,Swaps,-,USD,0.0166,BBB,-,165-175,E,-,E,99.98407,-,145.0,21.01,Fixed,2.23,0.0167,Swaps,-,USD,0.0349,BB,-,360-375,E,-,E,99.98119,-,330.0,22.51,Fixed,2.24,0.0352,Swaps,-,USD,0.0565,B,-,600-625,E,-,E,99.9836,-,550.0,19.01,Fixed,2.24,0.0572,-0.010199999999999999,,,,,-0.004769999999993502,99.99219,99.98407,99.98119,99.9836,-102.0,85.0,145.0,330.0,550.0,32.19999999999999,30.27,21.01,22.51,19.01,0.54,2.15,2.23,2.24,2.24,-0.010399999999999998,,,,
4,2021-04-26,320.0,EDSF,-,USD,0.010700000000000001,AA,-,-,E,-,E,99.99652,-,85.0,320.0,Fixed,1.35,0.0108,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0019000000000000006,,,,,0.011290000000002465,-99.99219,-99.98407,-99.98119,-99.9836,15.0,-85.0,-145.0,-330.0,-550.0,-87.19999999999999,-30.27,-21.01,-22.51,-19.01,-0.42999999999999994,-2.15,-2.23,-2.24,-2.24,0.0019000000000000006,,,,
5,2021-07-27,500.0,Swaps,-,USD,0.0103,AA,-,70-75,E,-,E,99.99584,-,70.0,418.75,Fixed,2.3,0.0103,Swaps,-,USD,0.0124,A,-,85-90,E,-,E,99.97703,-,85.0,28.0,Fixed,2.65,0.0125,Swaps,-,USD,0.013999999999999999,BBB,-,115-125,E,-,E,99.97898,-,100.0,19.75,Fixed,2.7,0.0141,Swaps,-,USD,0.0254,BB,-,230-240,E,-,E,99.97732,-,215.0,22.5,Fixed,2.7,0.0256,Swaps,-,USD,0.0461,B,-,440-450,E,-,E,99.97901,-,425.0,11.0,Fixed,2.7,0.0466,-0.00040000000000000105,,,,,-0.0006800000000026785,99.97703,99.97898,99.97732,99.97901,-15.0,85.0,100.0,215.0,425.0,98.75,28.0,19.75,22.5,11.0,0.9499999999999997,2.65,2.7,2.7,2.7,-0.0005000000000000004,,,,
6,2021-11-01,247.0,-,-,USD,0.0,AA,-,-,E,-,E,99.93333,-,0.0,247.0,Fixed,1.23,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0103,,,,,-0.06251000000000317,-99.97703,-99.97898,-99.97732,-99.97901,-70.0,-85.0,-100.0,-215.0,-425.0,-171.75,-28.0,-19.75,-22.5,-11.0,-1.0699999999999998,-2.65,-2.7,-2.7,-2.7,-0.0103,,,,
7,2022-02-01,366.548,EDSF,-,USD,0.0175,AA (L),-,-,E,-,E,99.99374,-,100.0,366.548,Fixed,0.8,0.0176,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0175,,,,,0.060410000000004516,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,119.548,0.0,0.0,0.0,0.0,-0.42999999999999994,0.0,0.0,0.0,0.0,0.0176,,,,
8,2022-04-27,500.0,I-Curve,-,USD,0.043,AAA,-,175a,E,-,E,99.9888,-,170.0,405.62,Fixed,2.28,0.0434,I-Curve,-,USD,0.0464,AA,-,200a,E,-,E,99.97876,-,200.0,27.56,Fixed,2.58,0.046900000000000004,I-Curve,-,USD,0.0489,A,-,225a,E,-,E,99.97835,-,225.0,26.78,Fixed,2.61,0.0495,I-Curve,-,USD,0.0553,BBB,-,290a,E,-,E,99.98735,-,290.0,18.2,Fixed,2.61,0.055999999999999994,I-Curve,-,USD,0.08039999999999999,BB,-,550a,E,-,E,99.94256,-,550.0,21.84,Fixed,2.61,0.08199999999999999,0.025499999999999995,,,,,-0.004940000000004829,99.97876,99.97835,99.98735,99.94256,70.0,200.0,225.0,290.0,550.0,39.072,27.56,26.78,18.2,21.84,1.4799999999999998,2.58,2.61,2.61,2.61,0.0258,,,,
9,2022-06-16,371.45,I-Curve,-,USD,0.0455,AAA,-,-,E,-,E,98.96079,-,275.0,356.0,Fixed,1.05,0.0565,I-Curve,-,USD,0.0,BBB,-,-,E,-,E,0.0,-,0.0,15.45,Fixed,3.19,0.0,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0025000000000000022,-0.0464,,,,-1.0280099999999948,-99.97876,-99.97835,-99.98735,-99.94256,105.0,-200.0,-225.0,-290.0,-550.0,-49.620000000000005,-12.11,-26.78,-18.2,-21.84,-1.2299999999999998,0.6099999999999999,-2.61,-2.61,-2.61,0.0131,-0.046900000000000004,,,
10,2022-09-08,250.0,I-Curve,-,USD,0.043,AAA,-,225-235,E,-,E,97.6802,-,215.0,202.81,Fixed,1.91,0.0565,I-Curve,-,USD,0.0464,AA,-,275a,E,-,E,96.5669,-,290.0,13.78,Fixed,0.0,0.064,I-Curve,-,USD,0.0489,A,-,325a,E,-,E,96.21589,-,330.0,13.39,Fixed,0.0,0.068,I-Curve,-,USD,0.0553,BBB,-,450a,E,-,E,95.18761,-,450.0,9.1,Fixed,2.25,0.08,I-Curve,-,USD,0.08039999999999999,BB,-,700a,E,-,E,95.52063,-,700.0,10.92,Fixed,2.25,0.105,-0.0025000000000000022,0.0464,,,,-1.2805900000000037,96.5669,96.21589,95.18761,95.52063,-60.0,290.0,330.0,450.0,700.0,-153.19,-1.67,13.39,9.1,10.92,0.8599999999999999,-3.19,0.0,2.25,2.25,0.0,0.064,,,
