,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-A-1,C/E-A-1,CCY-A-1,CPN-A-1,DR-A-1,FI-A-1,GDNC-A-1,KR-A-1,LTV-A-1,MO-A-1,PRICE-A-1,SP-A-1,SPRD-A-1,SZE(M)-A-1,TYPE-A-1,WAL-A-1,YLD-A-1,BNCH-A-2,C/E-A-2,CCY-A-2,CPN-A-2,DR-A-2,FI-A-2,GDNC-A-2,KR-A-2,LTV-A-2,MO-A-2,PRICE-A-2,SP-A-2,SPRD-A-2,SZE(M)-A-2,TYPE-A-2,WAL-A-2,YLD-A-2,BNCH-A1,C/E-A1,CCY-A1,CPN-A1,DR-A1,FI-A1,GDNC-A1,KR-A1,LTV-A1,MO-A1,PRICE-A1,SP-A1,SPRD-A1,SZE(M)-A1,TYPE-A1,WAL-A1,YLD-A1,BNCH-A2,C/E-A2,CCY-A2,CPN-A2,DR-A2,FI-A2,GDNC-A2,KR-A2,LTV-A2,MO-A2,PRICE-A2,SP-A2,SPRD-A2,SZE(M)-A2,TYPE-A2,WAL-A2,YLD-A2,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,BNCH-PT-1,C/E-PT-1,CCY-PT-1,CPN-PT-1,DR-PT-1,FI-PT-1,GDNC-PT-1,KR-PT-1,LTV-PT-1,MO-PT-1,PRICE-PT-1,SP-PT-1,SPRD-PT-1,SZE(M)-PT-1,TYPE-PT-1,WAL-PT-1,YLD-PT-1,BNCH-PT-2,C/E-PT-2,CCY-PT-2,CPN-PT-2,DR-PT-2,FI-PT-2,GDNC-PT-2,KR-PT-2,LTV-PT-2,MO-PT-2,PRICE-PT-2,SP-PT-2,SPRD-PT-2,SZE(M)-PT-2,TYPE-PT-2,WAL-PT-2,YLD-PT-2,BNCH-R-1,C/E-R-1,CCY-R-1,CPN-R-1,DR-R-1,FI-R-1,GDNC-R-1,KR-R-1,LTV-R-1,MO-R-1,PRICE-R-1,SP-R-1,SPRD-R-1,SZE(M)-R-1,TYPE-R-1,WAL-R-1,YLD-R-1,BNCH-R-2,C/E-R-2,CCY-R-2,CPN-R-2,DR-R-2,FI-R-2,GDNC-R-2,KR-R-2,LTV-R-2,MO-R-2,PRICE-R-2,SP-R-2,SPRD-R-2,SZE(M)-R-2,TYPE-R-2,WAL-R-2,YLD-R-2,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,PRICE-D-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change
0,2015-08-21,189.37,-,-,USD,0.0,-,-,-,A,-,E,0.0,-,0.0,189.37,Fixed,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016-06-21,379.8,Swaps,-,USD,0.0326,A,-,250a,A,-,E,99.98911,-,237.5,379.8,Fixed,2.3,0.0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326,,,,99.98911,0.0,0.0,0.0,237.5,0.0,0.0,0.0,190.43,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0329,,,
2,2016-07-27,480.55,EDSF,-,USD,0.030899999999999997,A,-,-,A,-,E,99.98433,-,215.0,425.88,Fixed,1.84,0.031200000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.04769999999999999,BBB,-,-,BBB,-,E,99.96483,-,365.0,54.67,Fixed,4.87,0.0483,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017000000000000001,,,,-0.004779999999996676,99.96483,0.0,0.0,-22.5,365.0,0.0,0.0,46.079999999999984,54.67,0.0,0.0,-0.45999999999999974,4.87,0.0,0.0,-0.0016999999999999967,,,
3,2016-09-09,203.02,EDSF,-,USD,0.0318,-,-,-,A,-,E,99.47934,-,243.0,178.479,Fixed,1.96,0.0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0483,-,-,-,BBB+,-,E,99.961,-,365.0,7.809,Fixed,5.0,0.0489,Swaps,-,USD,0.0592,-,-,-,BBB-,-,E,99.99178,-,475.0,16.732,Fixed,5.12,0.0599,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000900000000000005,0.0006000000000000102,,,-0.5049900000000065,-0.0038300000000077716,99.99178,0.0,28.0,0.0,475.0,0.0,-247.40099999999998,-46.861000000000004,16.732,0.0,0.11999999999999988,0.1299999999999999,5.12,0.0,0.0035999999999999956,0.0005999999999999964,,
4,2016-10-06,512.6,EDSF,-,USD,0.0305,A,-,200a,A,-,E,99.99795,-,200.0,451.7,Fixed,1.85,0.030699999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0449,BBB,-,325a,BBB,-,E,99.96802,-,325.0,60.9,Fixed,4.97,0.0454,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013000000000000025,-0.0034000000000000002,,,0.5186100000000096,0.00701999999999714,-99.99178,0.0,-43.0,-40.0,-475.0,0.0,273.221,53.091,-16.732,0.0,-0.10999999999999988,-0.03000000000000025,-5.12,0.0,-0.0040999999999999995,-0.003499999999999996,,
5,2016-11-16,213.645,EDSF,-,USD,0.030600000000000002,A,-,-,A+,-,E,99.65957,-,205.0,188.267,Fixed,1.86,0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0455,BBB,-,-,BBB+,-,E,98.17329,-,330.0,25.378,Fixed,4.98,0.050199999999999995,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010000000000000286,0.0005999999999999964,,,-0.3383800000000008,-1.7947300000000013,0.0,0.0,5.0,5.0,0.0,0.0,-263.433,-35.522,0.0,0.0,0.010000000000000009,0.010000000000000675,0.0,0.0,0.0020000000000000018,0.004799999999999992,,
6,2017-01-20,564.0,EDSF,-,USD,0.032799999999999996,A,-,180,A,-,E,99.99146,-,180.0,504.0,Fixed,1.85,0.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0473,BBB,-,275,BBB,-,E,99.98078,-,275.0,60.0,Fixed,4.91,0.0478,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021999999999999936,0.001800000000000003,,,0.33189000000000135,1.8074900000000014,0.0,0.0,-25.0,-55.0,0.0,0.0,315.733,34.622,0.0,0.0,-0.010000000000000009,-0.07000000000000028,0.0,0.0,0.0003999999999999976,-0.0023999999999999924,,
7,2017-02-22,343.716,EDSF,-,USD,0.032799999999999996,A,-,-,A,-,E,99.83313,-,185.0,307.154,Fixed,1.85,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0473,BBB,-,-,BBB+,-,E,99.47801,-,285.0,36.562,Fixed,4.98,0.049,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,-0.15833000000000652,-0.5027699999999982,0.0,0.0,5.0,10.0,0.0,0.0,-196.846,-23.438000000000002,0.0,0.0,0.0,0.07000000000000028,0.0,0.0,0.000900000000000005,0.0011999999999999997,,
8,2017-05-11,530.0,EDSF,-,USD,0.0277,-,-,120-130,AA,-,E,99.99998,AA,120.0,470.0,Fixed,1.87,0.0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0385,-,-,205-215,NR,-,E,99.96874,A,190.0,60.0,Fixed,4.98,0.038900000000000004,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005099999999999997,-0.008800000000000002,,,0.1668499999999966,0.4907299999999992,0.0,0.0,-65.0,-95.0,0.0,0.0,162.846,23.438000000000002,0.0,0.0,0.020000000000000018,0.0,0.0,0.0,-0.006100000000000001,-0.010099999999999998,,
9,2017-06-27,499.5,EDSF,-,USD,0.025,AA,-,95-100,AA,-,E,99.9819,AA,95.0,443.0,Fixed,1.88,0.0252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0359,A,-,170-180,A,-,E,99.99486,A,175.0,56.5,Fixed,4.94,0.0362,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0026999999999999975,-0.002599999999999998,,,-0.018079999999997654,0.026120000000005916,0.0,0.0,-25.0,-15.0,0.0,0.0,-27.0,-3.5,0.0,0.0,0.009999999999999787,-0.040000000000000036,0.0,0.0,-0.002700000000000001,-0.002700000000000001,,
10,2017-09-15,527.12,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,EDSF,-,USD,2.14%,AA,-,55a,AA+,-,-,99.99575,AA,65.0,287.2,Fixed,0.98,2.15%,Swaps,-,USD,2.78%,AA,-,95a,AA+,-,-,99.9883,AA,105.0,173.8,Fixed,3.21,2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0369,A,-,170a,A,-,E,99.98474,A,185.0,66.12,Fixed,4.79,0.037200000000000004,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010000000000000009,,,-99.9819,-0.010120000000000573,0.0,0.0,-95.0,10.0,0.0,0.0,-443.0,9.620000000000005,0.0,0.0,-1.88,-0.15000000000000036,0.0,0.0,,0.0010000000000000009,,
11,2017-11-07,727.35,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,EDSF,-,USD,2.20%,AA,-,57-60,AA+,-,-,99.96151,AA,57.0,387.65,Fixed,0.99,2.25%,Swaps,-,USD,2.82%,AA,-,90a,AA+,-,-,99.99869,AA,90.0,215.4,Fixed,3.06,2.84%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swaps,-,USD,0.0352,A,-,150-160,A,-,E,99.99931,A,150.0,92.3,Fixed,4.7,0.0355,Swaps,-,USD,0.04019999999999999,BBB,-,200-210,BBB,-,E,99.96788,BBB,200.0,32.0,Fixed,4.96,0.0406,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017000000000000001,,,0.0,0.014569999999991978,99.96788,0.0,0.0,-35.0,200.0,0.0,0.0,26.179999999999993,32.0,0.0,0.0,-0.08999999999999986,4.96,0.0,,-0.001700000000000007,,
